V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,custom1,gc,quota,Q32,Q1,Q2,Q22,Q4,Q3,Q24,Q5,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q3.0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q8,Q7_1.0,Q7_2.0,Q7_3.0,Q7_4.0,Q7_5.0,Q7_6.0,Q7_7.0,Q7_8.0,Q7_9.0,Q7_10.0,Q7_11,Q7_12,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q5.0,Q4_1.0,Q4_2.0,Q4_3.0,Q4_4.0,Q4_5.0,Q4_6.0,Q4_7.0,Q4_8.0,Q4_9.0,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q9_1.0,Q9_2.0,Q9_3.0,Q9_4.0,Q9_5.0,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1.0,Q10_2.0,Q10_3.0,Q10_4.0,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q11_1.0,Q11_2.0,Q11_3.0,Q11_4.0,Q11_5.0,Q11_6.0,Q12_1,Q12_2,Q12_3,hugrev,enjoytouchrev,shdnotbeuncomfrev,liketouchrev,showemorev,likebetouchedrev,touchpersrev,touchICK,okdoctouchrev,undoctouchrev,docshdtouchrev,prefdoctouchrev,docICK
R_00U0NudGqUkG8iV,Default Response Set,Anonymous, , ,65.25.55.177,0,12/16/2013,12/16/2013,1,500193d792796c-49e4-480c-be03-7e57ce0c1489,1, ,1,2,52,3,1,1 week ago,10 minutes,1,7,5,5,5,1,1,1,7,1,1,1,1,1,1,9,10,9,9,10,9,9,9,10,9,9,9,9,8,9,8,9,8,9,8,9,8,9,9,9,9,8,9,8,9,8,8,8,9,9,8,9,8,8,8,8,9,9,8,8,8,8,9,9,9,8,8,8,9,8,8,8,8,8,8,8,9,9,8,8,1,5,5,5,5,5,5,4,5,6,5,5,6,1,6,5,5,5,5,5,5,5,5,6,6,5,5,5,5,6,6,5,5,5,5,1,5,6,6,5,5,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,1, , ,3,3,3,3,3,3,3,3,3,3,1, , , ,1, , , , , ,3,3,3,3,3,3, , ,1,4,4,4,4,4,3,4,6.07692307692308,3,2,3,3,6.7
R_02jQyUST9QCDnP7,Default Response Set,Anonymous, , ,98.66.220.115,0,12/16/2013,12/16/2013,1,50019329beaab3-ac98-4fd8-93ee-b3f558f09914,1, ,1,2,63,3,1,nov,2,2,2,1,1,1,1,7,1,7,3,3,6,6,6,3,11,11,11,10,2,6,1,2,2,1,11,11,3,2,11,11,11,2,2,11,2,2,10,10,2,10,10,11,2,6,6,9,2,10,11,2,6,1,2,9,6,3,3,8,6,6,6,6,6,6,1,6,6,2,9,2,2,10,11,1,2,6,5,10,2,1,4,5,7,7,6,2,3,5,7,1,3,4,1,1,4,2,7,7,2,3,1,4,3,6,6,4,4,4,6,4,4,4,4,4,1,3,2,4,6,5,7,4,4,7,3,3,5,5,3,3,3,3,5,5,5,5,5,3,3,3,3,1, , , ,1,1,3,1,1,1,3,3,1,3,1,1, , , ,1, , , , ,1,1,1,1,1,1, , ,1,3,6,4,6,6,6,6,4.76923076923077,1,1,1,2,1.9
R_03BYOgO2hTXJLjD,Default Response Set,Anonymous, , ,24.34.133.187,0,12/16/2013,12/16/2013,1,500193cda1af42-8192-4cdb-8d44-6e156d2b1a2d, , ,1,2,56,3,1,09/13,2,1,7,7,2,1,7,7,6,3,1,7,1,1,1,1,3,8,8,6,11,11,3,11,10,1,9,11,10,2,11,11,11,4,4,9,9,8,9,7,4,10,2,2,2,11,10,1,6,4,10,11,9,9,11,10,8,3,2,11,8,8,2,2,10,2,2,9,2,11,2,11,11,2,2,2,6,6,11,2,2,1,4,5,5,3,6,1,4,5,7,1,1,4,1,1,7,1,7,6,1,4,1,7,4,7,6,5,4,2,4,4,2,7,1,4,1,1,2,5,4,4,6,4,4,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,4,4,2,3,2.53846153846154,9,4,4,6,7
R_06gbU7dJpEKfCXr,Default Response Set,Anonymous, , ,50.183.94.80,0,12/16/2013,12/16/2013,1,500193e8d5d25a-481c-4b32-832e-552e75ddb210,1, ,1,1,72,3,1,2 weeks,1,1,7,1,3,4,1,7,6,7,1,1,6,6,7,1,9,10,8,8,2,3,2,4,2,2,9,9,3,6,9,8,9,3,3,9,3,3,2,8,2,7,9,9,4,5,6,6,3,8,9,5,3,3,3,10,8,3,2,10,9,6,3,3,9,2,1,8,2,3,8,3,3,8,11,1,2,11,3,1,2,1,2,3,6,7,7,1,2,7,7,1,2,2,1,1,7,4,7,7,1,2,2,7,3,5,4,5,4,2,4,5,4,4,1,4,1,1,2,3,6,4,5,4,4,6,3,3,3,4,3,3,3,2,4,3,2,3,4,1,2,2,2,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1, , ,1, ,1,1,1, ,4,2,3,2,1,1, , ,1,2,4,2,3,6,3,4,2.92307692307692,3,2,4,4,2.8
R_06QHX7JzyJDRIlT,Default Response Set,Anonymous, , ,68.45.236.72,0,12/16/2013,12/16/2013,1,5001939a8f36e2-4a7b-4b5f-953e-20ca98173fbb,1, ,1,2,26,1,1,5,0,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,3,3,2,3,2,1,2,3,2,3,2,3,3,3,2,2,2,2,1,3,2,3,2,3,3,3,3,3,2,3,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,3,3,3,3,3,3,3,3,3, ,1, ,1,3,1,2,2,2,2,2,2,3,2,1,1,1, , ,1, , , , ,2,4,4,4,4,3, ,1, ,10,10,10,10,9,10,9,6.23076923076923,10,10,10,10,5.1
R_07BqEW0mp5NCkuh,Default Response Set,Anonymous, , ,96.233.254.16,0,12/16/2013,12/16/2013,1,50019392208e47-f835-4f4a-b60c-b7788f6e85b9,1, ,1,2,44,4,1,this month,0,4,6,1,2,1,1,6,7,2,2,2,2,2,2,1,11,11,11,11,2,2,2,10,2,2,11,11,2,2,11,11,11,2,2,11,2,2,11,11,2,2,11,11,2,3,7,7,2,11,11,2,2,2,2,10,6,7,2,9,6,5,3,3,4,3,2,9,3,2,11,2,2,11,10,2,5,8,9,10,2,1,2,4,5,5,5,4,6,5,3,2,2,4,1,6,3,6,5,5,7,4,6,5,4,5,5,1,1,1,1,1,1,1,7,1,1,5,3,7,4,2,7,5,3,7,1,5,5,5,5,1,5,3,5,5,4,3,5,3,5,5,5, ,1, , ,2,1,4,4,5,3,4,4,3,4,1, , , , , , , , ,1,1,1,1,1,1,1, , ,1,2,6,3,6,7,8,3,4.23076923076923,1,1,1,1,2.4
R_07nndacbliFYGSV,Default Response Set,Anonymous, , ,71.148.24.35,0,12/13/2013,12/13/2013,1,5001935bb2cb65-f5cd-4caf-8595-2cd1b56cd7c7,1, ,1,2,52,1,1,11-2013,2,1,2,2,2,2,6,7,2,2,1,1,1,7,6,1,9,8,9,11,2,2,2,5,2,2,10,10,3,2,9,9,10,2,2,10,6,6,3,8,2,9,6,6,8,8,8,2,3,8,10,11,11,2,9,9,2,2,2,1,2,6,4,9,2,3,2,1,10,10,7,9,10,7,3,9,11,11,11,11,2,1,6,2,6,6,6,2,1,6,5,1,2,1,1,1,2,2,5,5,1,3,1,6,6,6,7,4,4,2,1,4,4,4,6,4,1,5,1,2,7,7,7,7,6,7,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1, , , ,3,4,4,2,3,4,3,2,4,2,1,1, ,1, , ,1,1, , ,4,1,4,4,1,1, , ,1,3,10,11,10,6,10,11,6.38461538461539,3,4,3,1,2.6
R_08sw6rO4ggrYqgd,Default Response Set,Anonymous, , ,98.30.244.24,0,12/16/2013,12/16/2013,1,5001933ef63625-19a0-4670-b84c-f45be7dff119,1, ,1,1,44,3,1,2 months,0,1,1,1,1,1,1,6,6,1,2,2,6,2,2,2,8,10,9,6,6,9,1,6,8,1,10,10,3,2,11,9,10,2,2,5,11,2,2,10,2,10,1,10,10,11,6,1,1,10,6,9,11,2,10,8,5,10,2,2,1,2,10,11,1,10,6,6,10,2,6,9,9,10,9,6,9,9,9,9,2,1,4,1,7,7,5,1,1,7,7,1,1,1,1,1,5,1,1,7,1,6,6,7,3,7,4,4,4,4,4,4,5,6,2,5,1,4,3,5,4,3,4,3,3,3,1,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3, ,1, , ,3,3,3,3,3,4,3,3,3,3,1,1, , , , ,1,1, , ,2,2,2,2,3,3,1, , ,4,7,10,11,10,11,6,8.30769230769231,4,2,3,6,4.6
R_0B8J2jhMEw1ZZ09,Default Response Set,Anonymous, , ,71.60.81.63,0,12/16/2013,12/16/2013,1,500193e39488e6-3c24-4960-adcc-d2e4342c84d1,1, ,1,1,62,3,1,1 week ago,1,2,1,1,1,1,1,7,6,6,5,2,6,5,2,2,3,10,10,9,4,4,3,4,3,3,6,7,4,6,7,6,6,7,5,6,6,6,7,6,6,5,7,6,6,4,6,7,6,6,6,4,6,5,6,8,7,7,4,7,7,7,5,5,7,4,4,6,5,5,6,5,6,6,8,1,5,8,6,1,7,1,3,2,6,5,6,3,3,6,5,2,2,3,1,2,5,3,5,6,3,2,4,5,4,5,5,4,4,4,5,4,4,4,3,4,1,4,4,3,6,5,5,5,5,6,3,3,3,3,3,3,3,3,4,4,4,3,2,3,3,3,3,1, , , ,1,1,1,1,1,1,3,2,1,1,1,1, , ,1, , , , , ,3,1,4,1,1,2,1, , ,4,5,5,5,5,5,6,4.92307692307692,9,2,2,3,3.7
R_0CByT1XQnqOW6Kp,Default Response Set,Anonymous, , ,24.127.191.86,0,12/16/2013,12/16/2013,1,5001939676a3ae-f389-4cab-bcac-4fc4989cfb7c,1, ,1,1,36,1,1,9/13,4,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,9,9,10,10,10,10,11,10,10,10,10,10,10,9,11,11,9,10,10,10,11,10,9,9,9,11,10,10,9,9,10,10,9,11,10,10,9,9,10,9,10,10,10,11,10,10,11,11,10,10,9,10,10,8,9,10,9,10,9,10,11,9,9,1,5,6,5,6,6,6,7,7,6,7,7,6,1,6,6,7,7,7,7,6,6,7,7,5,6,5,5,6,6,6,7,7,7,7,1,6,6,6,7,7,7,7,7,7,4,4,4,3,4,5,5,4,4,4,5,5,5,5,5,5,5,1,1,1,1,4,4,4,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,4,4,5,4,5,5, , ,1,3,2,2,2,1,1,2,5.61538461538461,3,2,3,3,7.2
