"age","repub","MIP"
60,0,"The over emphasis on social programs."
42,1,"health care"
69,0,"The endangered species act.  It is so harmful for agriculture, and I put food as"
42,1,""
46,1,"education of kids (how) could be better"
50,1,"war (how) the involve the us in too much of it"
44,1,"unemployment"
40,0,"our children with the drugs and everything else"
55,1,"drugs and young people"
62,0,"crooked politicians that lie to you"
67,0,"drugs (illegal)"
42,0,"the influcx of all the foriegn people to this country"
64,0,"The rapid spending of our tax dollars; we're trying to encompass everything with"
18,0,"war"
64,1,"the stuff that's on television (it's crap) so many kids spend time watching and "
38,1,"crime"
41,0,"the status of our military - not enough funding for it"
41,1,"respect"
68,1,"education"
55,1,"child abuse"
62,0,"medical costs"
38,1,"homeless..."
30,0,"crime"
53,1,"honesty, getting things done when they say they'll do them"
63,1,"poverty"
39,0,"homelessness"
42,1,"gun control"
35,1,"guns and drugs"
64,1,"drugs"
27,0,"war"
36,0,"gun control"
23,1,"inadequate health coverage"
66,1,"goverment trying to run everything--trying to control things totaly"
49,1,"immigration police"
36,1,"teen pregnancy"
61,1,"greenspan, does not keep his mouth shut. want to raising interest rates, thinks "
39,1,"crime(spec) murder"
23,1,"crime"
61,1,"education"
25,1,"welfare"
77,1,"Pollution"
40,0,"being able to keep more disposable incom eafter taxes"
46,0,"moral decline"
73,0,"drugs"
44,0,"lack of chrisianity"
38,0,"a turn away from Jesus and the christian values the country was found apon"
36,0,"lack of moral and ethics"
68,1,"housing"
63,1,"racisim (why) it seems people talk and say there not but they ddont get thee job"
51,0,"moral decline"
30,1,"number of homless"
35,1,"crime"
39,0,""
51,0,"medical care for all aericans, both regards to provider and also for medications"
50,1,"poverty"
43,0,"PEOPLE DON'T SERVE GOD THE WAY THEY SHOULD SERVE GOD"
77,0,"taxes are high"
37,1,"Homeless"
34,1,"violence"
34,0,"moral decay"
76,1,"putting medicare on a sounder basis"
23,0,"our president"
38,1,"Violence"
38,1,"Social Security"
51,1,""
37,1,"Crime"
58,0,"drugs"
33,0,"lack of morals"
32,0,"lack of morals"
45,0,"social security"
40,0,"bill clinton"
28,1,"day care for kids"
33,1,"women throwing children away"
64,0,"difference between the economy wages, housing for the poor"
50,1,"the economy"
64,0,"children and guns"
67,1,"preserving life too long and not having medical and financial benefits to cover"
40,1,"race issue"
45,1,"delinquency (elab) a lot of people dying/we need to get more programs for youth."
79,0,"crime"
31,0,"morality issues,education"
55,1,"morals"
44,0,"Turmoil of politics"
56,1,"drugs"
23,0,"violence"
31,0,"we need more help with immigrations (mexicans)"
42,1,"lack of health care"
58,1,"number poorer people"
69,1,"the lack of godliness"
36,0,"people turning away from God"
23,1,"Social non adjustment"
78,1,"coruption (political, police, etc.)"
51,0,"drugs"
72,1,""
39,1,"crime"
66,1,"poverty"
36,1,"raising our children"
32,1,"drugs"
61,0,"uniting people with diverse backgrounds"
61,1,"poverty"
34,1,"enviroment..."
72,1,"drugs"
45,0,"economy (spec)  stabilization of economy"
31,0,"Lack of moral standards"
53,1,"violence in schools"
45,0,"lack of parental supervision."
54,1,"keeping up our education process,health insurance"
28,1,"education"
41,1,"childen's voilence"
65,0,"morality issue."
29,1,"economics"
46,0,"homelessness"
27,0,"lack of skilled workers"
61,1,"no jobs near michigan"
44,1,"unemployment"
47,0,"|nothing"
34,0,"education what"
44,0,"pollution"
47,0,"The lack of integrity in the white house."
60,1,"Elian Gonzalez - Should stay here"
55,1,"none"
35,0,"economic boom and education growth not equal especially for minorities|,lack of "
51,1,"gangs"
46,1,"unemployment (elab) rent is too expensive & the hourly wage is to low/primarily "
28,1,"violence in schools"
52,1,"racist (expound) cant think"
40,0,"violence"
71,1,"crime"
27,1,"overpopulation"
35,0,"the price of oil in the country today as it's reflected at the pumps."
31,0,"education"
66,0,"juvinile delinquency"
33,1,"export and imports"
62,1,"drugs (elab) it is a major problem over the world that affect all teen."
73,0,"dishonesty"
49,1,"hunger (how) alot of people that go hungry every nite"
38,0,"a lack of direction, of ACTUAL cause."
57,0,"I really don't know except crime."
35,0,"the break down of the family"
77,1,"Lack of respect for people"
28,1,"housing take longer to do repairs"
47,0,"racial issues"
52,0,"Crime"
74,0,"too many foreigners who can't speak english"
46,1,"immigration, a lot of illegal people (spec) to give a hand out to those people."
27,0,"drugs..."
41,1,"Crime"
46,0,"drugs"
32,0,"the democrats"
62,1,"morals ,lack of christ in there life"
56,0,"health care"
64,0,""
51,0,"crime"
31,1,"relations between different ethenic groups"
49,1,"Took prayer out of school"
68,0,"what are we going to do abt excess taxes,social secrity, thenatl debt, medicare "
54,0,"family life, children/too many children don't have a good family life, and not g"
19,1,"civil rights"
42,0,"education (clar) lack of qualified teachers"
62,1,"jobs"
76,1,"racism"
58,1,"national security"
58,1,"keeping the economic prosperity going."
64,1,"political aspects"
57,1,"Medical issues for the elderly"
30,1,""
50,1,""
51,1,"gun control"
18,1,"the wide gap between the wealthy and nonwealthy"
46,1,"crime"
43,0,"Youth Violence"
31,0,"lack of good education"
38,0,"education"
48,0,"crime"
89,0,"honesty"
70,1,""
63,1,"education and violence"
42,0,"tv"
33,0,"insurance"
22,1,"poverty rate"
33,0,"Employment, no job opportunities"
59,1,"under funding of education"
43,1,"money,income"
53,1,"giving the cuban back to cuba"
21,0,"the abortion issue"
39,0,"crime, as relates to our young"
32,0,"morality"
35,0,"descrimination against hispanic"
38,1,"special interest"
29,0,"bill clinton (i think as soon as he goes the better we are)"
71,1,"the poor..."
57,0,"youth behavior of kids in general"
23,1,"budget deficet"
68,0,"lack of morals"
46,0,"government"
52,0,"taxes; everyone is paying too much taxes."
65,0,"education"
79,1,"health care (too many people without health care"
68,0,"taking god out of the schools"
71,1,"gasoline prices"
75,0,"taxes"
21,0,"homeless ness"
69,0,"eDUCATION"
41,0,"We are not centered people"
51,1,"kids not having a curfew"
46,1,"problem with killings in schools by kids, as well as an issue of gun control"
52,0,"violence in schools"
72,1,"crime"
28,1,""
71,1,"educational system"
87,1,"education (clar) it's terrible, we should be leaders but we are at the bottom of"
18,1,"education (how) standards have fallen and not enough resources"
37,1,"state of child related issue- child pverty, day care and education"
56,1,"education"
30,1,"economically emblanaced,racism"
76,1,"who are they gonna vote for"
47,1,"wealth between the clsaews"
83,1,"violence, children killing children"
42,0,"immorality"
44,0,"taxes"
33,0,"poverty"
60,1,"drugs"
57,0,"medical care and poverty..."
48,0,"Fast pace economy."
21,0,"taxes"
74,1,""
37,0,"the lack of concern for family issues by govt"
51,1,"many of our children are going hungry"
74,0,"crime"
36,1,"race relations"
40,1,"under payment of the lower class citizen"
59,0,"drugs"
25,1,"The economy"
69,1,""
47,0,"guns"
51,0,"inmorality (elab) no"
42,1,"wars in other countries"
42,0,"poverty"
48,0,"treatment of nuclear waste"
76,1,"we should mind our own business allot more"
75,0,"education and foeign policy"
19,0,""
