"V1","V2"
3,23
7,25
20,25
22,33
28,34
8,40
1,42
12,43
6,48
38,55
52,58
53,65
57,65
43,66
25,68
57,68
26,71
6,77
8,77
35,77
69,77
31,78
65,78
65,81
77,81
66,83
43,87
9,88
39,88
26,89
38,90
53,96
37,98
5,99
13,100
78,100
64,101
104,107
6,111
27,111
37,111
69,111
98,111
109,111
78,112
10,115
85,115
21,117
44,117
7,119
15,120
60,120
58,121
40,123
93,123
65,124
106,125
81,126
124,126
19,128
34,128
9,129
45,129
106,129
113,129
118,129
124,129
64,132
103,132
131,132
93,133
30,134
125,135
61,136
62,136
129,136
3,138
85,138
43,140
82,140
8,141
75,141
93,141
96,141
114,141
49,142
88,142
88,143
112,143
71,144
74,144
106,144
27,145
35,145
121,145
50,147
66,147
1,150
47,150
106,150
34,151
51,151
87,151
71,153
27,154
86,155
104,155
151,155
72,156
47,158
1,159
22,160
35,160
65,162
157,162
107,163
161,163
9,164
92,164
131,164
28,165
100,165
38,166
101,168
138,168
132,169
26,174
56,174
77,175
53,177
98,177
71,179
139,179
91,180
149,180
157,180
45,181
145,181
163,181
29,182
166,183
54,184
73,185
131,185
61,187
116,187
52,188
113,188
154,188
169,188
98,189
161,189
107,190
124,190
78,191
20,192
50,196
51,196
139,196
28,197
72,197
166,198
46,199
166,199
183,199
110,200
137,205
115,206
9,208
185,208
115,209
169,210
180,210
96,212
205,212
30,214
95,215
137,215
93,217
163,218
134,221
52,222
134,223
47,224
81,224
18,226
140,226
71,227
76,227
114,227
184,227
210,227
36,228
34,230
191,230
12,231
62,231
66,231
173,232
46,233
77,235
147,235
206,235
132,236
213,236
224,236
33,237
96,237
112,237
92,238
7,239
19,239
183,240
20,241
195,241
82,242
92,245
142,245
186,245
159,247
45,248
172,249
175,249
111,251
146,251
244,251
4,252
32,252
51,253
122,254
236,254
231,255
22,256
100,256
5,257
209,257
199,258
239,258
131,259
174,259
96,260
97,260
213,260
250,260
8,261
83,262
88,262
6,263
122,264
181,265
203,265
60,266
95,267
121,267
125,267
18,268
22,268
60,268
125,268
13,269
16,269
122,269
246,269
104,271
119,271
232,271
256,271
167,272
264,272
215,273
250,273
259,273
242,274
2,275
172,275
112,276
56,277
176,277
120,278
166,278
226,279
143,280
203,281
60,282
142,282
259,282
106,283
114,283
225,283
240,283
138,284
127,285
65,286
91,286
124,286
198,286
76,287
204,287
30,288
206,288
215,289
250,290
276,290
27,291
179,291
267,291
189,293
207,293
290,293
103,294
34,295
185,295
225,295
286,295
33,296
116,296
6,297
132,297
271,297
274,297
25,298
88,298
187,298
276,298
5,299
126,299
33,300
220,300
265,301
23,302
176,302
155,303
177,303
78,304
299,304
62,305
137,305
251,305
280,305
138,306
152,306
197,306
263,306
230,308
62,309
51,310
107,310
298,310
38,311
133,311
66,312
39,313
55,313
192,313
96,314
274,314
137,315
155,315
95,317
254,318
7,319
1,320
190,320
265,320
142,321
179,321
202,321
12,322
76,322
131,322
237,322
11,323
83,323
117,323
131,323
47,324
89,324
90,324
62,325
84,325
231,325
282,326
65,327
68,328
225,328
49,329
143,329
41,330
151,330
166,330
167,330
258,330
284,330
5,331
156,331
326,332
124,333
21,334
23,334
61,335
129,335
93,336
130,336
311,336
33,337
101,337
167,337
181,337
185,337
212,337
104,338
110,339
233,340
47,341
155,342
330,342
118,343
158,343
78,344
237,344
319,344
202,346
54,347
257,347
325,347
21,348
44,348
101,348
178,348
282,349
292,349
159,350
267,350
61,351
214,351
291,351
171,352
83,353
179,353
72,354
105,354
213,354
269,354
51,356
301,356
184,357
39,358
286,358
299,358
180,359
86,360
114,360
177,360
241,360
271,360
331,360
95,362
156,362
335,362
358,362
77,363
188,363
355,363
179,364
324,364
353,364
193,365
114,366
225,366
232,366
212,367
12,368
31,368
341,368
10,369
12,369
124,370
176,370
273,370
292,370
320,370
34,371
164,371
121,372
212,373
344,374
68,375
95,375
319,375
188,376
221,376
110,377
225,377
321,377
372,377
240,379
226,380
242,380
110,381
84,382
7,384
78,384
208,385
251,385
89,386
106,386
372,386
180,387
231,388
45,389
358,389
238,391
323,391
151,393
245,393
295,393
281,394
22,396
37,396
249,396
324,396
125,397
168,397
167,398
263,398
397,398
75,399
81,400
209,400
19,402
106,402
145,402
273,402
311,402
118,403
195,403
296,403
64,404
130,404
296,404
29,405
317,405
61,406
272,406
51,407
123,407
185,407
205,407
224,407
351,407
150,408
176,408
199,408
348,408
79,409
93,409
236,409
313,409
115,410
146,410
193,410
306,410
311,410
97,411
17,412
26,412
138,412
183,413
221,414
318,414
111,415
181,415
212,415
355,415
125,416
365,416
185,417
325,417
367,417
375,417
61,418
103,418
118,418
126,418
294,418
418,419
58,420
192,420
211,420
259,420
345,420
381,420
167,421
177,421
197,421
22,422
323,422
370,422
381,422
159,423
235,423
236,423
310,423
369,423
378,423
397,423
10,424
155,424
28,425
46,425
8,426
230,426
271,427
351,427
377,427
106,428
146,428
169,428
171,429
366,429
374,429
72,430
21,431
185,431
75,432
127,434
114,436
202,437
290,437
89,438
343,438
417,438
186,439
201,439
332,439
69,440
256,440
9,441
56,441
75,441
153,441
169,441
245,441
263,441
411,442
346,443
77,444
208,444
175,445
273,445
319,445
33,446
55,446
165,446
177,447
249,447
352,447
428,447
3,449
23,449
29,449
183,449
195,449
227,449
399,449
73,450
101,451
255,451
394,451
34,452
116,452
144,452
163,452
194,452
119,453
340,453
97,454
251,454
307,454
13,455
143,455
144,455
203,455
206,455
319,455
338,455
346,455
288,456
406,456
303,457
398,457
92,458
170,458
293,458
326,459
381,459
52,460
156,460
